id	date	chimp	condition	session	trial	side	correct	pull_action	both_ropes
46	07/10/2018	zee	test	1	4	right	yes	one	0
47	07/10/2018	zee	test	1	5	left	yes	one	0
48	07/10/2018	zee	test	1	6	left	yes	one	0
49	07/10/2018	cheetah	test	1	1	left	yes	two	1
50	07/10/2018	cheetah	test	1	2	right	yes	two	1
51	07/10/2018	cheetah	test	1	3	left	yes	two	1
52	07/10/2018	cheetah	test	1	4	left	yes	two	1
53	07/10/2018	cheetah	test	1	5	right	yes	two	1
54	07/10/2018	cheetah	test	1	6	right	yes	two	1
55	08/10/2018	mwanzo	test	2	1	right	yes	two	1
56	08/10/2018	mwanzo	test	2	2	right	yes	two	1
57	08/10/2018	mwanzo	test	2	3	left	yes	two	1
58	08/10/2018	mwanzo	test	2	4	right	yes	two	1
59	08/10/2018	mwanzo	test	2	5	left	yes	one	0
60	08/10/2018	mwanzo	test	2	6	left	yes	two	1
61	08/10/2018	mary	test	2	1	left	yes	one	0
62	08/10/2018	mary	test	2	2	left	yes	two	1
63	08/10/2018	mary	test	2	3	right	yes	two	1
64	08/10/2018	mary	test	2	4	left	yes	two	1
65	08/10/2018	mary	test	2	5	right	yes	two	1
66	08/10/2018	mary	test	2	6	right	yes	two	1
67	08/10/2018	amahirwe	test	1	1	right	yes	two	1
68	08/10/2018	amahirwe	test	1	2	left	yes	two	1
69	08/10/2018	amahirwe	test	1	3	right	yes	two	1
70	08/10/2018	amahirwe	test	1	4	right	yes	two	1
71	08/10/2018	amahirwe	test	1	5	left	yes	two	1
72	08/10/2018	amahirwe	test	1	6	left	yes	two	1
73	08/10/2018	zee	test	2	1	right	yes	one	0
74	08/10/2018	zee	test	2	2	right	no	one	0
75	08/10/2018	zee	test	2	3	left	no	one	0
76	08/10/2018	zee	test	2	4	left	yes	one	0
77	08/10/2018	zee	test	2	5	right	no	one	0
78	08/10/2018	zee	test	2	6	left	yes	two	1
79	08/10/2018	cheetah	test	2	1	right	yes	two	1
80	08/10/2018	cheetah	test	2	2	left	yes	two	1
81	08/10/2018	cheetah	test	2	3	right	yes	two	1
82	08/10/2018	cheetah	test	2	4	right	yes	two	1
83	08/10/2018	cheetah	test	2	5	left	yes	two	1
84	08/10/2018	cheetah	test	2	6	left	yes	two	1
85	09/10/2018	mwanzo	control	2	1	left	yes	one	0
86	09/10/2018	mwanzo	control	2	2	right	yes	one	0
87	09/10/2018	mwanzo	control	2	3	left	yes	one	0
88	09/10/2018	mwanzo	control	2	4	left	yes	one	0
89	09/10/2018	mwanzo	control	2	5	right	yes	one	0
90	09/10/2018	mwanzo	control	2	6	right	yes	one	0
91	09/10/2018	mary	control	2	1	right	yes	two	1
92	09/10/2018	mary	control	2	2	left	yes	one	0
93	09/10/2018	mary	control	2	3	right	yes	two	1
94	09/10/2018	mary	control	2	4	right	yes	two	1
95	09/10/2018	mary	control	2	5	left	yes	one	0
96	09/10/2018	mary	control	2	6	left	yes	one	0
97	09/10/2018	amahirwe	test	2	1	left	yes	two	1
98	09/10/2018	amahirwe	test	2	2	right	yes	two	1
99	09/10/2018	amahirwe	test	2	3	left	no	one	0
100	09/10/2018	amahirwe	test	2	4	left	yes	two	1
101	09/10/2018	amahirwe	test	2	5	right	no	one	0
102	09/10/2018	amahirwe	test	2	6	right	yes	two	1
103	09/10/2018	zee	control	2	1	left	yes	one	0
104	09/10/2018	zee	control	2	2	left	yes	one	0
105	09/10/2018	zee	control	2	3	right	yes	one	0
106	09/10/2018	zee	control	2	4	right	yes	one	0
107	09/10/2018	zee	control	2	5	left	yes	one	0
108	09/10/2018	zee	control	2	6	right	yes	one	0
109	09/10/2018	cheetah	control	2	1	right	yes	two	1
110	09/10/2018	cheetah	control	2	2	right	yes	two	1
111	09/10/2018	cheetah	control	2	3	left	yes	one	0
112	09/10/2018	cheetah	control	2	4	left	yes	two	1
113	09/10/2018	cheetah	control	2	5	right	yes	two	1
114	09/10/2018	cheetah	control	2	6	left	yes	two	1
115	10/10/2018	amahirwe	control	2	1	right	yes	one	0
116	10/10/2018	amahirwe	control	2	2	left	yes	one	0
117	10/10/2018	amahirwe	control	2	3	right	yes	one	0
118	10/10/2018	amahirwe	control	2	4	right	yes	one	0
119	10/10/2018	amahirwe	control	2	5	left	yes	one	0
120	10/10/2018	amahirwe	control	2	6	left	yes	one	0
